% Model,20220721_CounterPump6.mph
% Version,COMSOL 6.0.0.318
% Date,"Jul 28 2022, 09:27"
% Dimension,3
% Nodes,200
% Expressions,1
% Description,
% Length unit,cm
% X,Y,Z,Rop (1/s)
0,0,-1.5,237.42250856458
0,0,-1.484924623115578,235.04330443452557
0,0,-1.4698492462311559,232.66594453833463
0,0,-1.4547738693467336,230.29046278028378
0,0,-1.4396984924623115,227.91689402292786
0,0,-1.4246231155778895,225.54527412785126
0,0,-1.4095477386934674,223.17563999912778
0,0,-1.3944723618090453,220.80802962975423
0,0,-1.379396984924623,218.44248215135084
0,0,-1.364321608040201,216.07903788745867
0,0,-1.349246231155779,213.7177384108041
0,0,-1.3341708542713568,211.3586266049466
0,0,-1.3190954773869348,209.00174673077768
0,0,-1.3040201005025125,206.6471444983973
0,0,-1.2889447236180904,204.29486714496048
0,0,-1.2738693467336684,201.94496351916266
0,0,-1.2587939698492463,199.59748417311866
0,0,-1.2437185929648242,197.25248146248487
0,0,-1.228643216080402,194.91000965578553
0,0,-1.2135678391959799,192.57012505403213
0,0,-1.1984924623115578,190.23288612185806
0,0,-1.1834170854271358,187.89835363156118
0,0,-1.1683417085427137,185.56659082162295
0,0,-1.1532663316582914,183.2376635714794
0,0,-1.1381909547738693,180.91164059455696
0,0,-1.1231155778894473,178.5885936518467
0,0,-1.1080402010050252,176.2685977885955
0,0,-1.0929648241206031,173.9517315970275
0,0,-1.0778894472361809,171.63807750839726
0,0,-1.0628140703517588,169.3277221181098
0,0,-1.0477386934673367,167.02075654812944
0,0,-1.0326633165829147,164.71727685145623
0,0,-1.0175879396984926,162.41738446406777
0,0,-1.0025125628140703,160.1211867104219
0,0,-0.9874371859296482,157.82879736940308
0,0,-0.9723618090452262,155.54033730846507
0,0,-0.9572864321608041,153.2559351947066
0,0,-0.942211055276382,150.97572829269495
0,0,-0.9271356783919599,148.69986336006042
0,0,-0.9120603015075377,146.42849765320423
0,0,-0.8969849246231157,144.16180005691248
0,0,-0.8819095477386935,141.8999523532436
0,0,-0.8668341708542714,139.64315064675327
0,0,-0.8517587939698492,137.3916069649265
0,0,-0.8366834170854272,135.1455510545848
0,0,-0.8216080402010051,132.9052323969903
0,0,-0.806532663316583,130.67092246633274
0,0,-0.791457286432161,128.44291725818593
0,0,-0.7763819095477387,126.22154011626458
0,0,-0.7613065326633166,124.00714488725932
0,0,-0.7462311557788945,121.80011943451005
0,0,-0.7311557788944724,119.60088954155745
0,0,-0.7160804020100503,117.40992323589617
0,0,-0.7010050251256281,115.22773556116964
0,0,-0.6859296482412061,113.05489382213332
0,0,-0.670854271356784,110.89202332040718
0,0,-0.6557788944723618,108.73981358968496
0,0,-0.6407035175879398,106.59902512588997
0,0,-0.6256281407035176,104.47049658992495
0,0,-0.6105527638190955,102.35515243724089
0,0,-0.5954773869346734,100.25401089855681
0,0,-0.5804020100502513,98.16819219890264
0,0,-0.5653266331658292,96.09892685718718
0,0,-0.550251256281407,94.04756385562195
0,0,-0.535175879396985,92.01557840816618
0,0,-0.5201005025125629,90.00457899133038
0,0,-0.5050251256281407,88.01631323218145
0,0,-0.48994974874371855,86.05267218192095
0,0,-0.47487437185929654,84.11569244560829
0,0,-0.4597989949748744,82.20755559814147
0,0,-0.44472361809045236,80.33058430392525
0,0,-0.42964824120603035,78.48723458425037
0,0,-0.414572864321608,76.68008375355335
0,0,-0.399497487437186,74.91181368257753
0,0,-0.3844221105527639,73.18518924766788
0,0,-0.3693467336683418,71.50303208857625
0,0,-0.35427135678391974,69.86819011052548
0,0,-0.33919597989949746,68.28350350774842
0,0,-0.3241206030150754,66.75176842336391
0,0,-0.3090452261306533,65.27569965550518
0,0,-0.29396984924623126,63.8578940316376
0,0,-0.2788944723618092,62.50079616669758
0,0,-0.2638190954773869,61.2066682729397
0,0,-0.24874371859296482,59.97756549484488
0,0,-0.23366834170854278,58.815317916002165
0,0,-0.21859296482412074,57.72151996012235
0,0,-0.20351758793969865,56.697527432130144
0,0,-0.18844221105527637,55.74446196969254
0,0,-0.1733668341708543,54.86322224908426
0,0,-0.15829145728643224,54.0545009495213
0,0,-0.14321608040201017,53.318806249052365
0,0,-0.1281407035175881,52.656486508254076
0,0,-0.11306532663316582,52.06775678625637
0,0,-0.09798994974874375,51.552725907559115
0,0,-0.08291457286432169,51.11142293276962
0,0,-0.06783919597989962,50.743822056073455
0,0,-0.05276381909547734,50.44986513400888
0,0,-0.03768844221105527,50.22948122601501
0,0,-0.022613065326633208,50.082602685252844
0,0,-0.007537688442211143,50.0091774721771
0,0,0.007537688442210921,50.0091774721771
0,0,0.022613065326633208,50.082602685252844
0,0,0.03768844221105527,50.22948122601501
0,0,0.05276381909547734,50.449865134008874
0,0,0.0678391959798994,50.74382205607345
0,0,0.08291457286432147,51.11142293276962
0,0,0.09798994974874375,51.552725907559115
0,0,0.11306532663316582,52.06775678625637
0,0,0.12814070351758788,52.65648650825407
0,0,0.14321608040200995,53.31880624905235
0,0,0.158291457286432,54.054500949521284
0,0,0.1733668341708543,54.86322224908426
0,0,0.18844221105527637,55.74446196969254
0,0,0.20351758793969843,56.69752743213013
0,0,0.21859296482412052,57.721519960122336
0,0,0.23366834170854256,58.81531791600215
0,0,0.24874371859296482,59.97756549484488
0,0,0.2638190954773869,61.2066682729397
0,0,0.278894472361809,62.500796166697555
0,0,0.29396984924623104,63.857894031637585
0,0,0.3090452261306531,65.27569965550516
0,0,0.3241206030150754,66.75176842336393
0,0,0.33919597989949746,68.28350350774839
0,0,0.3542713567839195,69.86819011052545
0,0,0.3693467336683416,71.50303208857619
0,0,0.38442211055276365,73.18518924766785
0,0,0.399497487437186,74.91181368257753
0,0,0.414572864321608,76.68008375355333
0,0,0.42964824120603007,78.48723458425036
0,0,0.4447236180904522,80.3305843039252
0,0,0.4597989949748742,82.20755559814144
0,0,0.47487437185929654,84.11569244560829
0,0,0.48994974874371855,86.05267218192094
0,0,0.5050251256281406,88.01631323218142
0,0,0.5201005025125629,90.00457899133036
0,0,0.5351758793969847,92.01557840816612
0,0,0.550251256281407,94.04756385562192
0,0,0.5653266331658289,96.09892685718715
0,0,0.5804020100502512,98.16819219890263
0,0,0.5954773869346734,100.25401089855683
0,0,0.6105527638190953,102.35515243724082
0,0,0.6256281407035176,104.47049658992493
0,0,0.6407035175879394,106.59902512588994
0,0,0.6557788944723617,108.73981358968494
0,0,0.670854271356784,110.89202332040715
0,0,0.6859296482412058,113.05489382213324
0,0,0.7010050251256281,115.22773556116964
0,0,0.71608040201005,117.40992323589612
0,0,0.7311557788944723,119.60088954155745
0,0,0.7462311557788945,121.80011943451007
0,0,0.7613065326633164,124.00714488725926
0,0,0.7763819095477387,126.22154011626458
0,0,0.7914572864321605,128.44291725818587
0,0,0.8065326633165828,130.67092246633268
0,0,0.8216080402010051,132.9052323969903
0,0,0.836683417085427,135.14555105458476
0,0,0.8517587939698492,137.3916069649265
0,0,0.8668341708542711,139.6431506467532
0,0,0.8819095477386932,141.89995235324358
0,0,0.8969849246231157,144.16180005691248
0,0,0.9120603015075375,146.42849765320418
0,0,0.9271356783919598,148.69986336006036
0,0,0.9422110552763816,150.97572829269487
0,0,0.9572864321608039,153.25593519470655
0,0,0.9723618090452262,155.54033730846507
0,0,0.9874371859296481,157.82879736940302
0,0,1.0025125628140703,160.1211867104219
0,0,1.0175879396984921,162.41738446406777
0,0,1.0326633165829144,164.7172768514562
0,0,1.0477386934673367,167.02075654812944
0,0,1.0628140703517586,169.3277221181097
0,0,1.0778894472361809,171.63807750839726
0,0,1.0929648241206027,173.95173159702745
0,0,1.108040201005025,176.2685977885956
0,0,1.1231155778894473,178.5885936518467
0,0,1.1381909547738691,180.91164059455693
0,0,1.1532663316582914,183.2376635714794
0,0,1.1683417085427132,185.5665908216229
0,0,1.1834170854271355,187.89835363156115
0,0,1.1984924623115578,190.23288612185803
0,0,1.2135678391959797,192.57012505403205
0,0,1.228643216080402,194.91000965578553
0,0,1.2437185929648238,197.25248146248475
0,0,1.258793969849246,199.59748417311866
0,0,1.2738693467336684,201.94496351916266
0,0,1.2889447236180902,204.2948671449604
0,0,1.3040201005025125,206.64714449839735
0,0,1.3190954773869343,209.00174673077763
0,0,1.3341708542713566,211.35862660494658
0,0,1.349246231155779,213.71773841080415
0,0,1.3643216080402008,216.07903788745864
0,0,1.379396984924623,218.44248215135084
0,0,1.3944723618090453,220.8080296297542
0,0,1.4095477386934672,223.17563999912778
0,0,1.4246231155778895,225.54527412785126
0,0,1.4396984924623113,227.91689402292786
0,0,1.4547738693467336,230.29046278028383
0,0,1.4698492462311559,232.66594453833463
0,0,1.4849246231155777,235.04330443452557
0,0,1.5,237.42250856458006
